,title,release_year,runtime_min,genre,rating,gross_usd_mil
2107,Fried Green Tomatoes,1991,130,Drama,7.7,82.42
60,Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi, Action, Sci-Fi",8.6,204.84
914,Dances with Wolves,1990,181,"Adventure, Drama, Western, Adventure, Drama, Western, Adventure, Drama, Western",8.0,184.21
1257,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance, Drama, Fantasy, Romance, Drama, Fantasy, Romance",7.9,56.36
1686,Awakenings,1990,121,"Biography, Drama, Biography, Drama",7.8,52.1
1659,Misery,1990,107,"Drama, Thriller, Drama, Thriller",7.8,61.28
2292,Dreams,1990,119,"Drama, Fantasy, Drama, Fantasy",7.7,1.96
1972,Home Alone,1990,103,"Comedy, Family, Comedy, Family",7.7,285.76
2160,Miller's Crossing,1990,115,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.7,5.08
46,Goodfellas,1990,145,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",8.7,46.84
